id	sent	text
1561	1	RT @ivanovo_er: 🎧Об итогах девятилетней работы @ROP37 и проекте #СкораяСоциальнаяПомощь сегодня в 17.00 на @ivanovo_106_7fm расскажет Екате…
1391	1	🎧 Слушай новый трек от #NVOY - Thinkin Bout U (VIP Mix) в нашем эфире #radioessential #renewmusic https://t.co/A35VTRGwEz
3114	0	RT @SophieBoudoir: ╭☀️╮ ѕυммєя 🔥 ╰♨️╯ ┊ ┊  ┊ ☀️🌡 🔥♨️┊ #Hot ┊     🔥 🌡♨️ ┊ 🌡#SexyFriends♨️  ┊☀️┊ ┊🌡┊ ┊♨️┊ https://t.co/59rknwUK5V
3073	0	RT @stomat1116: https://t.co/GM9Im7USXT Просыпайтесь :) ! Всем доброго утра и хорошего дня ☀️☀️☀️ https://t.co/EgU8WGFGjC
1716	0	@TriKathrin Доброе утро ☀️
1274	1	@smailik879 пойду ка я спать... Спасибо за сегодня....😊🎼🎧🙏🐬 Тотоша, ты мой ангел....💋 Спокойной ночи... чудесных сн… https://t.co/IeUZ3WfSlB
2858	0	Какой же сегодня прекрасный день ☀️😽
1579	1	RT @fkirkorov: Уже 28 сентября жду своих друзей и гостей на открытии моей маленькой, но очень уютной «Филармонии» — галлереи вокала 🎼👏👑🎤🎧🎹…
1106	1	А пока послушайте рока. Серега посоветовал группу и песни. Одна уже вкатила  #np deform - в ожидании весны  Плеер разнообразен как никогда 🎧
1459	1	RT @Havatski: Наушники решают многие проблемы 🎧
2139	0	@youngdirik23 @1D_NH_69 @It__your__dream @harryinlove02 @harry_orange_ @yoursmileor @deadunderrainbo @red_bloodd… https://t.co/eRAmngzGCi
605	0	RT @MahiMarianna: Пусть осень радует во всех проявлениях!🍁 Всем доброе утро и отличного дня!😊☀️ https://t.co/YjHyTaDH2x
512	0	RT @yours407: @_alina__little_ @acrazyperson4pm @TonFedorov @_li_ce @lianebo18 @total_psychopat @Marla_009 @miss_caffeinne @beautifulkeks Д…
679	1	RT @Sweet_Konfeta: Весь мир у твоих ног, но временно Завтра все вернет назад...✨🎧
599	1	#СоветскийКвартал только что дали вам Штангу, чтобы вы могли качаться🏋🏻🎧 @bastaakanoggano… https://t.co/CXq0C8QhuT
351	1	Настроение: сидеть в своей комнате, и слушать грустную музыку 🎧
1531	1	@Yanochka_Buyan Я могу подкинуть🎧
2763	0	@flansiii ночи ☀️☀️☀️
341	0	@mixstrkrxxxx Ееееесладкие16 😻♥️♥️ С днем рождения милая 💕 Счастья ☀️ люблю 😽
1492	0	Сегодня снег, выходные +12 ❄️☀️👏🏾👍🏾
864	1	Твои большие сиськи😂🎧
883	1	С днём музыки🎉🎼🎧🎤🎹🎻🎸🎺🎷🥁❤️#проф#праздник
415	1	"Мне понравилось видео ""🎧КАК УБРАТЬ ОГРАНИЧЕНИЕ ПРОСЛУШИВАНИЯ МУЗЫКИ С"
1311	1	Как идти по улице не танцуя,если в наушниках играет ахуенная песня?🎧💃
1533	0	@lesh_ik Я ИСПОЛНЯЮ ОРНЫЕ ЖЕЛАНИЯ ☀️
2383	0	RT @quacksonsquad: солнышко ☀️ https://t.co/VjNXwLg1Hv
1356	1	RT @Kate_Clapp: Удачно. Однако удачно зашла в интернет. @MarinaDiamandis 🎧 https://t.co/AJ3sl1QPxu
458	0	Сейчас все называют меня -Дарьей Владиславовной👍😻💖☀️
793	1	@raaaaise_ как же я по ним скучаю,это 1. второе-песней довела до крокодильих слез,и третье...спасибо за такие видео… https://t.co/clEy4tcUy9
2592	0	RT @MahiMarianna: Пейте чай...Обнимайте близких...Любуйтесь  яркими красками осени,принимайте ее дары...Наслаждайтесь этим чудесным утром☀️…
688	1	RT @Lakci7: А эта мне ооочень настроение поднимает😍🎧👌 #GOGO  @BTS_twt #BTSinEcuador2018 #btsbestnewpop #LOVEYOURSELF_承_Her   https://t.co/5…
3246	0	RT @nastya_loveexo: Доброе утро,пупс☀️ Спасибо, тебе тоже❤️ Люблю &lt;3 https://t.co/KS3VUEwZGP
536	1	Горячий чай с булочками ☕🍩 Любимая музыка 🎧 Одеялко ❤  Любимая книга 📖  Любимый фильм/сериальчик 🎬  Вот что нужна для осени ☔☁🍂🍁
268	0	RT @WVodopynov: Как же я скучаю за летними вечерами и рассветами😞🌙💫☀️
156	1	Мне придется убить себя Ведь только так ты будешь знать точно Что между нами ничего и никогда Уже не будет возможно… https://t.co/0ALITwbAQE
3470	0	RT @Ambaselmaa11: Өглөөний мэнд ☀️🙏🏽 https://t.co/c2fVYYXVOx
3691	0	RT @AlferovaYulya: Нам бы ещё немного тёплой осени, хотя бы  на пару дней 🍂 ☀️ https://t.co/TVxFLxhXuC
2671	0	RT @danstkirs: Доброго субботнего утра, мои любимые фолловеры!💋🐱🐱🐱🌳🌻🌺🍀🌹🍁🌷🌞☀️🌟✨ https://t.co/K4xgevXgfG
2551	0	Omg I need the sun so bad😑☀️ В такой погоде не получается ничего отснять для видео или по… https://t.co/pRZpjCjG58
680	1	Дай мне силы не любить, A просто забыть! Дай мне силы все понять. Дай мне сил чтоб остаться, остаться не в месте.💫🎧
1990	0	Скучаю по этим временам ♥️ Один из самых лучших дней, с лучшими людьми ☀️♥️❤️ https://t.co/jOeDbmWNwO
406	1	ничего, потерпи месяцок, я это сам не по рассказам знаю, что вскоре твой любимый мотылёк, в твоих глазах станет обычной тварью🎧
2746	0	Лан, почему нет От @littlevodorosl ☀️ Ну я надеюсь, что я хотя бы ничего такая 🙈 https://t.co/lY9uQX5vIj
3682	0	Яркое солнце, чистый воздух и вы на велосипеде мчитесь по прозрачному льду Байкалу! 🚲❄️☀️ Это же идеальное…… https://t.co/RWw2LnLLrK
